
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
0,,Surface,3,Image 1,1,238,
0,,Surface,3,Image 1,1,239,
2,,Surface,3,Image 1,1,240,
0,,Surface,3,Image 1,1,241,
2,,Surface,3,Image 1,1,242,
0,,Surface,3,Image 1,1,243,
1,,Surface,3,Image 1,1,244,
0,,Surface,3,Image 1,1,245,
0,,Surface,3,Image 1,1,246,
0,,Surface,3,Image 1,1,247,
0,,Surface,3,Image 1,1,248,
0,,Surface,3,Image 1,1,249,
0,,Surface,3,Image 1,1,250,
0,,Surface,3,Image 1,1,251,
0,,Surface,3,Image 1,1,252,
0,,Surface,3,Image 1,1,253,
0,,Surface,3,Image 1,1,254,
0,,Surface,3,Image 1,1,255,
3,,Surface,3,Image 1,1,256,
0,,Surface,3,Image 1,1,257,
0,,Surface,3,Image 1,1,258,
0,,Surface,3,Image 1,1,259,
0,,Surface,3,Image 1,1,260,
1,,Surface,3,Image 1,1,261,
2,,Surface,3,Image 1,1,262,
0,,Surface,3,Image 1,1,263,
2,,Surface,3,Image 1,1,264,
2,,Surface,3,Image 1,1,265,
0,,Surface,3,Image 1,1,266,
0,,Surface,3,Image 1,1,267,
0,,Surface,3,Image 1,1,268,
0,,Surface,3,Image 1,1,269,
0,,Surface,3,Image 1,1,270,
0,,Surface,3,Image 1,1,271,
0,,Surface,3,Image 1,1,272,
0,,Surface,3,Image 1,1,273,
0,,Surface,3,Image 1,1,274,
1,,Surface,3,Image 1,1,275,
0,,Surface,3,Image 1,1,276,
0,,Surface,3,Image 1,1,277,
0,,Surface,3,Image 1,1,278,
1,,Surface,3,Image 1,1,279,
7,,Surface,3,Image 1,1,280,
0,,Surface,3,Image 1,1,281,
0,,Surface,3,Image 1,1,282,
0,,Surface,3,Image 1,1,283,
0,,Surface,3,Image 1,1,284,
2,,Surface,3,Image 1,1,285,
0,,Surface,3,Image 1,1,286,
1,,Surface,3,Image 1,1,287,
0,,Surface,3,Image 1,1,288,
0,,Surface,3,Image 1,1,289,
0,,Surface,3,Image 1,1,290,
0,,Surface,3,Image 1,1,291,
0,,Surface,3,Image 1,1,292,
0,,Surface,3,Image 1,1,293,
1,,Surface,3,Image 1,1,294,
0,,Surface,3,Image 1,1,295,
0,,Surface,3,Image 1,1,296,
0,,Surface,3,Image 1,1,297,
0,,Surface,3,Image 1,1,298,
0,,Surface,3,Image 1,1,299,
0,,Surface,3,Image 1,1,300,
0,,Surface,3,Image 1,1,301,
4,,Surface,3,Image 1,1,302,
0,,Surface,3,Image 1,1,303,
0,,Surface,3,Image 1,1,304,
0,,Surface,3,Image 1,1,305,
0,,Surface,3,Image 1,1,306,
0,,Surface,3,Image 1,1,307,
0,,Surface,3,Image 1,1,308,
0,,Surface,3,Image 1,1,309,
1,,Surface,3,Image 1,1,310,
0,,Surface,3,Image 1,1,311,
0,,Surface,3,Image 1,1,312,
0,,Surface,3,Image 1,1,313,
0,,Surface,3,Image 1,1,314,
4,,Surface,3,Image 1,1,315,
0,,Surface,3,Image 1,1,316,
0,,Surface,3,Image 1,1,317,
0,,Surface,3,Image 1,1,318,
0,,Surface,3,Image 1,1,319,
0,,Surface,3,Image 1,1,320,
1,,Surface,3,Image 1,1,321,
1,,Surface,3,Image 1,1,322,
0,,Surface,3,Image 1,1,323,
0,,Surface,3,Image 1,1,324,
0,,Surface,3,Image 1,1,325,
2,,Surface,3,Image 1,1,326,
0,,Surface,3,Image 1,1,327,
0,,Surface,3,Image 1,1,328,
1,,Surface,3,Image 1,1,329,
1,,Surface,3,Image 1,1,330,
0,,Surface,3,Image 1,1,331,
9,,Surface,3,Image 1,1,332,
0,,Surface,3,Image 1,1,333,
1,,Surface,3,Image 1,1,334,
0,,Surface,3,Image 1,1,335,
2,,Surface,3,Image 1,1,336,
0,,Surface,3,Image 1,1,337,
0,,Surface,3,Image 1,1,338,
0,,Surface,3,Image 1,1,339,
0,,Surface,3,Image 1,1,340,
0,,Surface,3,Image 1,1,341,
0,,Surface,3,Image 1,1,342,
0,,Surface,3,Image 1,1,343,
1,,Surface,3,Image 1,1,344,
1,,Surface,3,Image 1,1,345,
0,,Surface,3,Image 1,1,346,
0,,Surface,3,Image 1,1,347,
1,,Surface,3,Image 1,1,348,
0,,Surface,3,Image 1,1,349,
2,,Surface,3,Image 1,1,350,
0,,Surface,3,Image 1,1,351,
1,,Surface,3,Image 1,1,352,
0,,Surface,3,Image 1,1,353,
0,,Surface,3,Image 1,1,354,
0,,Surface,3,Image 1,1,355,
1,,Surface,3,Image 1,1,356,
0,,Surface,3,Image 1,1,357,
0,,Surface,3,Image 1,1,358,
0,,Surface,3,Image 1,1,359,
1,,Surface,3,Image 1,1,360,
0,,Surface,3,Image 1,1,361,
2,,Surface,3,Image 1,1,362,
2,,Surface,3,Image 1,1,363,
0,,Surface,3,Image 1,1,364,
1,,Surface,3,Image 1,1,365,
1,,Surface,3,Image 1,1,366,
0,,Surface,3,Image 1,1,367,
0,,Surface,3,Image 1,1,368,
0,,Surface,3,Image 1,1,369,
1,,Surface,3,Image 1,1,370,
0,,Surface,3,Image 1,1,371,
0,,Surface,3,Image 1,1,372,
0,,Surface,3,Image 1,1,373,
3,,Surface,3,Image 1,1,374,
1,,Surface,3,Image 1,1,375,
0,,Surface,3,Image 1,1,376,
1,,Surface,3,Image 1,1,377,
0,,Surface,3,Image 1,1,378,
0,,Surface,3,Image 1,1,379,
0,,Surface,3,Image 1,1,380,
0,,Surface,3,Image 1,1,381,
0,,Surface,3,Image 1,1,382,
0,,Surface,3,Image 1,1,383,
4,,Surface,3,Image 1,1,384,
1,,Surface,3,Image 1,1,385,
3,,Surface,3,Image 1,1,386,
0,,Surface,3,Image 1,1,387,
0,,Surface,3,Image 1,1,388,
0,,Surface,3,Image 1,1,389,
0,,Surface,3,Image 1,1,390,
0,,Surface,3,Image 1,1,391,
1,,Surface,3,Image 1,1,392,
2,,Surface,3,Image 1,1,393,
0,,Surface,3,Image 1,1,394,
0,,Surface,3,Image 1,1,395,
0,,Surface,3,Image 1,1,396,
0,,Surface,3,Image 1,1,397,
0,,Surface,3,Image 1,1,398,
0,,Surface,3,Image 1,1,399,
0,,Surface,3,Image 1,1,400,
0,,Surface,3,Image 1,1,401,
1,,Surface,3,Image 1,1,402,
0,,Surface,3,Image 1,1,403,
0,,Surface,3,Image 1,1,404,
0,,Surface,3,Image 1,1,405,
1,,Surface,3,Image 1,1,406,
0,,Surface,3,Image 1,1,407,
0,,Surface,3,Image 1,1,408,
0,,Surface,3,Image 1,1,409,
0,,Surface,3,Image 1,1,410,
0,,Surface,3,Image 1,1,411,
2,,Surface,3,Image 1,1,412,
1,,Surface,3,Image 1,1,413,
0,,Surface,3,Image 1,1,414,
2,,Surface,3,Image 1,1,415,
0,,Surface,3,Image 1,1,416,
1,,Surface,3,Image 1,1,417,
0,,Surface,3,Image 1,1,418,
1,,Surface,3,Image 1,1,419,
0,,Surface,3,Image 1,1,420,
0,,Surface,3,Image 1,1,421,
1,,Surface,3,Image 1,1,422,
0,,Surface,3,Image 1,1,423,
0,,Surface,3,Image 1,1,424,
0,,Surface,3,Image 1,1,425,
1,,Surface,3,Image 1,1,426,
0,,Surface,3,Image 1,1,427,
